;nu_Contrato;qtdContratosAditivos
4512;TP0062014;1
4511;TP0052011;1
4506;TP0032012;1
4505;TP0032011;1
17;000020828;1
4502;TP0022012;1
4514;TP0132008;1
4437;PP07C2013;1
4476;PP28A2013;1
4474;PP27C2013;1
4438;PP1012013;1
74;000052016;1
4439;PP10A2013;1
4440;PP10B2013;1
4441;PP10C2013;1
4442;PP10G2013;1
4443;PP10H2013;1
4444;PP12A2013;1
4445;PP13A2013;1
4446;PP13B2013;1
4447;PP13C2013;1
4448;PP1412013;1
4449;PP14A2013;1
4450;PP16A2013;1
4451;PP16B2013;1
4452;PP16C2013;1
4453;PP17A2013;1
4473;PP27B2013;1
4472;PP27A2013;1
4470;PP26B2013;1
4467;PP24D2013;1
4466;PP24C2013;1
4465;PP24B2013;1
4475;PP27D2013;1
4464;PP24A2013;1
4461;PP21B2013;1
4459;PP20C2013;1
4458;PP2032013;1
4457;PP2012013;1
4455;PP18A2013;1
4454;PP17B2013;1
4463;PP21D2013;1
4358;CC1II2010;1
4357;CC1912013;1
4356;CC1512013;1
4222;500572011;1
4224;509012015;1
4225;510002015;1
4226;516012015;1
4227;517012015;1
4228;600012015;1
4229;600032014;1
4230;600062013;1
4231;600072003;1
4232;600082003;1
4233;600102013;1
4234;600352014;1
267;000182016;1
4235;600392013;1
4236;600422015;1
4237;600502013;1
4238;600632015;1
4256;613012014;1
4255;612022015;1
4254;612012015;1
4253;610022015;1
4252;610012015;1
4251;605012015;1
281;000192016;1
4250;603012015;1
4247;601112014;1
4245;601092013;1
4244;601022014;1
4243;601012015;1
4240;600732013;1
4239;600652015;1
4249;601192014;1
4257;614012014;1
4221;500482013;1
4219;500182015;1
4185;340012013;1
4186;3TP012013;1
4188;400022013;1
4189;400032010;1
4190;400052003;1
4191;400252011;1
4193;400272011;1
4194;400492013;1
4197;402012015;1
306;000202016;1
4200;403012015;1
4202;405012015;1
4204;406012015;1
4205;407012015;1
4207;409012015;1
4208;410012015;1
4209;410562014;1
4218;500082007;1
286;0001B2012;1
287;0001B2013;1
288;0001C2013;1
289;0001F2013;1
4217;500052007;1
4220;500212011;1
4216;500032015;1
4214;500022008;1
4213;500012015;1
4212;500012013;1
296;000202006;1
4211;450152013;1
4210;411012015;1
4215;500022015;1
4258;614022014;1
4259;616012015;1
4260;618012015;1
4311;999792001;1
4312;999802001;1
193;000142003;1
4313;999812001;1
191;000132016;1
4318;999992001;1
4320;B00412013;1
4321;C00012011;1
4322;C00022012;1
4323;C00032011;1
4325;C00092011;1
4330;C70012013;1
4331;CC0012011;1
179;000132004;1
4334;CC0022013;1
4336;CC0112013;1
4337;CC0122012;1
4355;CC1212013;1
4353;CC0562013;1
4352;CC0332013;1
4351;CC0322013;1
163;00012011B;1
4350;CC0312013;1
4310;980782013;1
4349;CC0242013;1
4347;CC01I2011;1
4346;CC0192013;1
4345;CC0182013;1
4343;CC0172013;1
4340;CC0142013;1
4338;CC0122013;1
4348;CC0232013;1
4309;980762013;1
4306;910012010;1
4302;901562014;1
4279;642012014;1
4277;637032014;1
4275;636022015;1
4274;636012015;1
4272;631012014;1
4271;630012015;1
222;000162001;1
4270;629032015;1
4268;626012014;1
4267;625032015;1
4265;624482014;1
4263;623012014;1
4262;620142014;1
4261;619012015;1
4269;626022014;1
3850;160742014;1
221;000152016;1
4282;700142009;1
4300;901542014;1
4299;901012014;1
4298;901012013;1
4297;900162013;1
206;000142016;1
4296;900152013;1
4280;680012014;1
4295;900032012;1
4290;802002012;1
4287;800022014;1
4286;800012014;1
4285;720172014;1
4284;710852009;1
4283;701012014;1
4291;830002012;1
3848;160612016;1
584;0003B2005;1
3634;100132005;1
3581;081012007;1
3582;081032008;1
3584;082032007;1
3585;083012014;1
3586;085012014;1
3587;090012013;1
3588;090052013;1
3589;090062013;1
3590;090082013;1
3591;090092013;1
3592;090112013;1
3594;090132013;1
3595;097022007;1
3580;081002011;1
3596;09ADM2011;1
3599;0PP122010;1
3600;0PP692010;1
3601;0PP702010;1
910;000622008;1
909;000622007;1
3604;100002015;1
907;000622005;1
3605;100012003;1
3606;100012006;1
3607;100012010;1
3608;100012011;1
3609;100012012;1
3617;100032010;1
3598;0PP012011;1
3618;100032012;1
933;000642005;1
3578;080152013;1
3549;064052016;1
3550;064312014;1
3551;065012015;1
3553;066SA2013;1
3554;067SA2013;1
3555;06ADM2011;1
3556;070012013;1
962;000662008;1
959;000662005;1
3559;070022015;1
3560;070032013;1
3561;070032014;1
3562;070042014;1
3579;080992011;1
3563;070042015;1
952;000652010;1
3566;070192015;1
949;000652007;1
948;000652006;1
944;000652002;1
3571;07ADM2011;1
3572;07PP42011;1
3573;080012014;1
3574;080022013;1
3575;080042014;1
3576;080082013;1
3577;080102013;1
936;000642008;1
3564;070082013;1
3548;063SA2013;1
3621;100032015;1
3624;100052013;1
3654;100222014;1
3655;100232006;1
3656;100242006;1
849;000582004;1
3657;100252015;1
3658;100262006;1
3659;100262010;1
3661;100282011;1
3662;100292015;1
3663;100302012;1
3665;100312011;1
838;000572006;1
3669;100332009;1
3653;100222006;1
3670;100342009;1
3674;100382013;1
3675;100382014;1
3677;100422011;1
3678;100432014;1
3680;100472011;1
3681;100472014;1
825;000562005;1
3682;100482014;1
3683;100492014;1
3684;100502014;1
3685;100512003;1
3686;100512007;1
3688;100512013;1
3673;100372014;1
3623;100042014;1
3652;100212015;1
3649;100202006;1
3625;100052014;1
3626;100062011;1
3627;100072014;1
3628;100082012;1
3629;100092015;1
3631;100122004;1
3632;100122011;1
3633;100122014;1
882;000602003;1
3846;160412015;1
880;0005D2013;1
879;0005C2008;1
878;0005C2005;1
3650;100212006;1
877;0005B2012;1
875;0005B2005;1
874;0005A2005;1
3636;100152012;1
3638;100162009;1
3640;100162015;1
3641;100172012;1
866;000592008;1
864;000592006;1
3643;100182011;1
3645;100192003;1
3646;100192006;1
3647;100192011;1
3648;100192013;1
876;0005B2008;1
3689;100512014;1
3547;062322014;1
3545;062312011;1
3458;041242014;1
3459;041272010;1
1075;000752008;1
3460;041272014;1
1073;000752006;1
3461;041282013;1
3463;041312010;1
1069;000742014;1
3464;041362010;1
3465;041372010;1
3467;041382013;1
3468;041402010;1
1063;000742007;1
3457;041242010;1
3469;041412010;1
1060;000742004;1
3472;041482012;1
3473;041492010;1
3474;041512010;1
3475;041512014;1
3477;041602013;1
3478;041602014;1
3479;041612010;1
3480;041662014;1
3481;041682014;1
3483;041732012;1
1048;000732005;1
1047;000732004;1
3470;041442011;1
3484;041802013;1
3455;041232013;1
3453;041222010;1
3419;040212015;1
3420;040312012;1
3421;040332012;1
3422;040372016;1
3423;040462011;1
1111;000782008;1
3424;040472011;1
3425;040522015;1
3426;040542012;1
1107;000782004;1
3428;040552015;1
3429;040592015;1
3430;040622015;1
3454;041222014;1
3431;040642015;1
3433;040702012;1
3434;040772015;1
3435;040782011;1
3438;040942009;1
3439;040942013;1
3441;041062015;1
3442;041092013;1
3443;041122013;1
3444;041132009;1
3445;041142009;1
3446;041162014;1
3448;041182010;1
3452;041212010;1
3432;040652013;1
3546;062312014;1
3485;041812014;1
3487;041902011;1
3516;050432013;1
3517;050452015;1
3518;050462015;1
3519;050682011;1
3520;052012013;1
3522;054012015;1
3523;055012014;1
999;000692007;1
998;000692006;1
3525;056SA2013;1
996;000692004;1
3527;057SA2013;1
3528;058SA2013;1
1008;0006A2010;1
3529;05C082010;1
3532;060012014;1
3533;060022013;1
3534;060742011;1
3535;060752011;1
3536;060782011;1
3538;060832011;1
3539;060SA2013;1
981;000672014;1
3540;061012015;1
979;000672012;1
3542;061512015;1
3543;061612014;1
3544;061SA2013;1
3530;05PP22011;1
3486;041832015;1
1009;0006B2010;1
1011;000702005;1
3488;041912014;1
3489;042022011;1
3490;042072011;1
3491;042142011;1
3492;042152012;1
1037;000722006;1
3493;042292012;1
3494;042512011;1
1034;00072005A;1
3495;042752014;1
3496;042792014;1
3497;043172014;1
3498;043232014;1
3515;050382013;1
3499;043272015;1
3501;043752014;1
3502;043762014;1
3504;048PP2013;1
1023;000712004;1
1022;000712002;1
3506;04ADM2011;1
3507;04C082010;1
3508;04PP42011;1
3509;050012013;1
3512;050202014;1
3513;050232015;1
3514;050252011;1
1012;000702006;1
3500;043642014;1
816;000552008;1
2402;002592010;1
814;000552006;1
3749;101912014;1
3799;109712015;1
3798;109502015;1
3797;109452015;1
3750;101942014;1
3751;101952014;1
3753;101962014;1
3754;102002014;1
3796;109022015;1
3755;102012012;1
758;000512000;1
3795;108852015;1
757;000502016;1
699;000482008;1
3794;108372015;1
3793;107792015;1
3757;102042014;1
3758;102162014;1
3759;102182011;1
3748;101902014;1
3747;101892014;1
3746;101842014;1
3745;101792014;1
3734;101352014;1
3736;101402014;1
681;000472004;1
776;000522008;1
3815;11PP42011;1
3814;11ADM2011;1
3813;118012015;1
3737;101522013;1
732;0004F2010;1
3792;107532015;1
3811;117002012;1
3808;111012015;1
3806;110602012;1
3805;110112010;1
3802;110012010;1
3741;101662014;1
3801;10ADM2011;1
3800;109892015;1
771;000512016;1
3743;101752014;1
3810;113012015;1
3731;101302014;1
3790;107092015;1
3762;102212014;1
722;0004A2010;1
3690;100522003;1
723;0004A2012;1
740;0004M2010;1
739;0004L2010;1
724;0004A2013;1
725;0004B2010;1
726;0004B2012;1
738;0004K2010;1
727;0004C2010;1
737;0004J2010;1
736;0004I2012;1
735;0004I2010;1
734;0004H2010;1
728;0004D2010;1
3770;105222015;1
733;0004G2010;1
3769;105202011;1
731;0004E2010;1
3771;105232015;1
720;000492016;1
3772;105242015;1
741;0004N2010;1
3763;102242014;1
3788;107012015;1
747;000502006;1
3787;106942015;1
3785;106852015;1
708;000492004;1
3782;106092015;1
3781;106072015;1
3780;106062015;1
3789;107072015;1
3779;106052015;1
3778;106042015;1
3777;106032015;1
3766;103772015;1
3776;106022015;1
3767;104012015;1
744;000502003;1
3768;105072015;1
3774;105882015;1
742;0004O2010;1
713;000492009;1
3729;101252009;1
3812;117012015;1
3831;140022013;1
3704;100592011;1
799;000542003;1
3823;123232005;1
3840;160092013;1
3830;138012015;1
3695;100542003;1
667;000462003;1
3715;100692014;1
3719;100812013;1
3706;100602014;1
3829;130012015;1
3839;160082015;1
3717;100732014;1
3828;130012014;1
3716;100732004;1
3837;160062015;1
3696;100542014;1
3707;100612014;1
3822;123012014;1
3835;160012015;1
3697;100562003;1
3700;100572012;1
3838;160072015;1
3709;100632015;1
3834;15ADM2011;1
3841;160112013;1
3832;14ADM2011;1
672;000462008;1
3713;100682014;1
3712;100682007;1
3824;124232005;1
3825;126022014;1
3691;100522011;1
3844;160222012;1
3723;101022011;1
3702;100582003;1
668;000462004;1
3826;12PP42011;1
3821;122122014;1
812;000552004;1
811;000552003;1
3827;130012013;1
3842;160162013;1
3692;100522014;1
786;000532004;1
3701;100572014;1
3693;100532003;1
3720;100832012;1
3724;101202014;1
3710;100662013;1
3371;023042007;2
3436;040912014;2
4372;CO0012012;2
4374;CO0022013;2
3297;01PP82010;2
3510;050012014;2
3302;01TP22012;2
2421;002632009;2
2818;005TP2013;2
2819;006012014;2
3928;169012015;2
3511;050032015;2
4504;TP0022014;2
3866;161032014;2
3418;040182014;2
4332;CC0012012;2
3851;160782014;2
4335;CC0062013;2
2515;003032004;2
3537;060802011;2
3951;200052010;2
2513;003022004;2
4339;CC0132014;2
2955;010032015;2
4518;TP1862009;2
2508;003012004;2
3531;060012013;2
3271;018062004;2
2880;007SA2011;2
2799;005702013;2
3405;033082009;2
3526;057012013;2
3945;200022014;2
2801;005732013;2
4513;TP0102010;2
4509;TP0042012;2
3524;055012015;2
4360;CC2312013;2
3388;030002012;2
3427;040552014;2
4363;CC2812013;2
3863;161002014;2
3775;106012015;2
4501;TP0022011;2
3855;160852014;2
2934;009TP2013;2
2426;002642012;2
3922;165872014;2
3900;163992013;2
3901;164002013;2
2847;006532013;2
2461;002802010;2
2437;002682010;2
2843;006402014;2
3903;164022015;2
2463;002812009;2
3889;162022013;2
2464;002812010;2
2465;002812014;2
4456;PP1912013;2
3345;020802010;2
2840;006322005;2
3482;041692014;2
3899;163882014;2
2861;006SA2011;2
3898;163862014;2
3372;023052007;2
3370;023032007;2
3820;122012015;2
3819;122012014;2
3368;023022007;2
2858;006882014;2
2448;002742013;2
3462;041292014;2
2915;008SA2011;2
3363;023012007;2
3818;121012015;2
2854;006762014;2
3816;120212014;2
3466;041382010;2
2852;006712011;2
2851;006662013;2
2438;002682014;2
3503;046012015;2
3373;023062007;2
2470;002822015;2
2865;007002014;2
2827;006152013;2
2427;002642014;2
2826;006142014;2
4471;PP2712013;2
3451;041202014;2
3450;041192014;2
4393;CV0362013;2
3449;041182014;2
4392;CV0342013;2
3383;029SA2012;2
2424;002642009;2
3447;041172010;2
3881;161572014;2
3314;020132010;2
4469;PP25B2013;2
2836;006252013;2
4468;PP25A2013;2
2864;007002012;2
4419;P02012011;2
3456;041232014;2
3337;020632012;2
3376;024012015;2
3912;164792014;2
4413;IN0072013;2
4412;IN0062013;2
2832;0061A2013;2
3331;020252010;2
3378;027012014;2
2911;008822008;2
3330;020242010;2
3329;020232013;2
3328;020232010;2
3327;020222010;2
2429;002652009;2
2962;010052013;2
3979;205012014;2
2963;010062007;2
3038;010292013;2
3039;010302013;2
3146;010872013;2
2724;004652014;2
4161;300032014;2
3635;100132014;2
3637;100152014;2
3140;010822013;2
3639;100162013;2
4168;300292013;2
4153;280062015;2
3044;010322011;2
3642;100172014;2
3131;010732015;2
4147;261052014;2
4144;250752015;2
3644;100182014;2
3127;010692014;2
3049;010342013;2
2713;004602014;2
4151;280012011;2
3149;010912015;2
3150;010922010;2
4173;300552012;2
3162;010SA2011;2
3018;010222013;2
3622;100042013;2
2743;0047A2011;2
2616;003912015;2
2617;003922014;2
3160;010992012;2
4198;403012013;2
4028;208102014;2
4195;400892010;2
3021;010242011;2
4192;400262011;2
3023;010242014;2
3630;100102014;2
3025;010252014;2
3733;101342014;2
4184;330142014;2
4181;330072015;2
4036;209012015;2
3730;101292014;2
3725;101232011;2
3651;100212013;2
3051;010342015;2
2709;004582003;2
3053;010352015;2
4102;214432014;2
4101;214422014;2
4100;214412014;2
4099;214402014;2
4098;214392014;2
4097;214382014;2
4095;214332014;2
3064;010392011;2
2685;004462003;2
4093;214322014;2
2686;004462011;2
3679;100452014;2
3694;100532014;2
4089;214292015;2
4088;214262014;2
3068;010402015;2
3070;010412014;2
3086;010482014;2
3687;100512011;2
3080;010442014;2
3075;010432013;2
3699;100572003;2
3619;100032013;2
4104;214452014;2
2680;004442013;2
3705;100592014;2
3114;010602014;2
2706;004572003;2
3660;100272011;2
3056;010362015;2
4123;215002012;2
3108;010572014;2
4121;214882014;2
3106;010562014;2
3105;010562010;2
3057;010372013;2
3058;010372014;2
3666;100312013;2
3103;010552014;2
3667;100322012;2
2677;004432009;2
3100;010532014;2
3668;100322014;2
2704;004562005;2
4110;214602014;2
3672;100352014;2
2702;004502003;2
3164;011002012;2
2609;003842011;2
2608;003802014;2
3557;070012014;2
3558;070022014;2
2779;005262011;2
2778;005252011;2
2543;003242014;2
2549;003272015;2
2775;005222011;2
2553;003302014;2
4278;641012014;2
4276;637012014;2
3223;011482013;2
2555;003312014;2
3221;011452015;2
4273;634012014;2
3567;070202015;2
3987;206292014;2
2980;010092013;2
3568;070222015;2
3569;071012014;2
3570;071012015;2
4266;625012014;2
4288;800332014;2
2560;003332014;2
2539;003212007;2
4294;900032010;2
4324;C00042012;2
3541;061312014;2
2965;010062013;2
3960;200302011;2
2966;010062015;2
4319;A12012013;2
2526;003142014;2
2527;003152007;2
2968;010072013;2
3252;014SA2011;2
3251;014932012;2
3249;014082013;2
4304;903532012;2
4301;901552014;2
3244;013SA2011;2
3552;066012014;2
3974;203012015;2
3242;013012014;2
3239;0124A2011;2
3975;203172014;2
2536;003202007;2
4292;900022006;2
4327;C00352013;2
2561;003342014;2
4264;624012014;2
4223;508012015;2
3603;100002014;2
3008;010172014;2
3009;010182010;2
3180;011072013;2
3742;101732014;2
3012;010192011;2
2596;003612014;2
2597;003622014;2
3175;011042011;2
3174;011032013;2
2599;003632014;2
4023;208042015;2
3016;010212013;2
3610;100012013;2
3615;100022013;2
3616;100022014;2
3169;011022012;2
3738;101532013;2
3166;011012011;2
2606;003782002;2
2751;004872014;2
3989;206332015;2
3004;010162015;2
3183;011092013;2
2565;003372013;2
3764;102702014;2
3761;102202014;2
3995;206512014;2
3206;011362014;2
3760;102192014;2
2568;003392010;2
2987;010112013;2
2988;010122011;2
2989;010122013;2
3998;206562014;2
3583;082012014;2
4246;601092014;2
3756;102012014;2
3195;011262012;2
4242;601012014;2
4241;601012013;2
2576;003452011;2
3190;011172013;2
3752;101962011;2
3184;011092015;2
3593;090122013;2
3845;160362013;2
4526;tp0032012;2
2401;002592009;2
1724;001392014;2
1729;001402009;2
520;000352008;2
1737;001412009;2
505;000342007;2
1744;001422009;2
1747;001422013;2
489;000332003;2
1749;001432005;2
1750;001432009;2
482;000322009;2
1754;001432014;2
1758;001442013;2
479;000322006;2
477;000322004;2
1765;001452012;2
476;000322003;2
1773;001462011;2
1774;001462013;2
1779;001472009;2
459;000312002;2
1783;001472015;2
1785;001482009;2
449;000302006;2
444;0002H2011;2
1792;001492009;2
435;0002A2013;2
532;000362008;2
424;000292008;2
1722;001392009;2
1719;001382014;2
1655;001312005;2
1659;001312012;2
614;000422002;2
1662;001312015;2
1666;001322009;2
1667;001322010;2
590;000402005;2
1672;001322015;2
1675;001332009;2
1676;001332010;2
1679;001332013;2
1680;001332014;2
1684;001342009;2
583;0003A2013;2
567;000392002;2
1695;001352013;2
1697;001352015;2
557;000382006;2
554;000382003;2
553;000382002;2
1706;001372009;2
1707;001372010;2
1708;001372011;2
542;000372006;2
1714;001382009;2
1716;001382011;2
1717;001382012;2
540;000372002;2
617;000422006;2
1802;001502013;2
1807;001512010;2
1917;001672011;2
1918;001672013;2
1920;001672015;2
1922;001682011;2
1929;001692011;2
1933;001702005;2
1934;001702007;2
1936;001702012;2
1940;001712005;2
1944;001712013;2
1948;001722009;2
1954;001732005;2
1963;001742012;2
1977;001762010;2
309;000212004;2
1980;001762015;2
1984;001772008;2
1989;001782005;2
1990;001782007;2
1992;001782009;2
1997;001782015;2
2000;001792008;2
2004;001792013;2
2006;001792015;2
2008;001802009;2
2009;001802010;2
293;000202003;2
1911;001662013;2
1806;001512009;2
1906;001652015;2
1904;001652013;2
1814;001522009;2
1821;001532006;2
406;000282004;2
392;000272003;2
1829;001542009;2
382;000262007;2
381;000262006;2
368;000252008;2
1856;001582009;2
356;000242008;2
1861;001582015;2
1869;001602005;2
1870;001602009;2
351;000242003;2
1873;001602013;2
1874;001602014;2
1876;001612005;2
1877;001612009;2
338;000232004;2
1885;001622009;2
327;000222007;2
325;000222005;2
1888;001632005;2
1891;001632013;2
1894;001642005;2
1895;001642008;2
1896;001642009;2
322;000222002;2
291;0001J2013;2
1649;001302010;2
1640;001292010;2
1130;0007A2007;2
1122;000792007;2
1326;000972010;2
1327;000972012;2
1332;000982006;2
1106;000782002;2
1098;000772008;2
1341;000992006;2
1352;0009A2010;2
1353;0009A2013;2
1364;000A72011;2
1368;001002008;2
1072;000752005;2
1071;000752002;2
1059;000742002;2
1386;00102011A;2
1046;000732002;2
1035;000722002;2
1396;001022014;2
1398;001032005;2
1026;000712008;2
1410;001042006;2
1010;000702002;2
995;000692002;2
1422;001052008;2
1424;001052010;2
983;000682002;2
1318;000962012;2
975;000672008;2
1317;000962011;2
1145;000812006;2
1251;000902009;2
1249;000902007;2
1238;000892008;2
1237;000892007;2
1270;000922007;2
1272;000922010;2
1234;000882015;2
1228;000882009;2
1227;000882008;2
1226;000882006;2
1281;000932007;2
1217;000872008;2
1283;000932009;2
1216;000872007;2
1214;000872005;2
1212;000862015;2
1205;000862008;2
1290;000942005;2
1202;000862004;2
1200;000852015;2
1181;000842006;2
1179;000832015;2
1172;000832008;2
1166;000822015;2
1158;000822007;2
1157;000822005;2
1148;000812009;2
1315;000962009;2
1647;001302005;2
970;000672002;2
945;000652003;2
1539;001172009;2
785;000532003;2
784;000532002;2
1543;001172013;2
1545;001172015;2
1546;001182009;2
772;000522002;2
762;000512006;2
1552;001182015;2
759;000512002;2
749;000502008;2
746;000502005;2
745;000502004;2
743;000502002;2
710;000492006;2
707;000492002;2
695;000482004;2
1583;001222010;2
694;000482003;2
693;000482002;2
670;000462006;2
1602;001252009;2
1609;001262006;2
1611;001262008;2
656;000452006;2
1613;001262010;2
1639;001292009;2
1537;001172007;2
960;000662006;2
1530;001162009;2
1529;001162007;2
931;000642002;2
1447;001072014;2
1451;001082007;2
922;000632007;2
1454;001082010;2
1458;001082015;2
918;000632002;2
1461;001092010;2
1472;001102007;2
1474;001102010;2
905;000622002;2
895;000612006;2
1481;001112007;2
883;000602005;2
1486;001112012;2
1492;001122008;2
848;000582002;2
1497;001122013;2
840;000572008;2
837;000572005;2
1501;001132008;2
1509;001142005;2
827;000562007;2
1516;001142015;2
1520;001152009;2
1521;001152010;2
1524;001152013;2
798;000542002;2
2013;001802015;2
1252;000902010;2
2017;001812010;2
2098;001942012;2
2102;001952010;2
210;000152005;2
2315;002372009;2
2110;001962013;2
2115;001972013;2
2308;002352009;2
32;000022016;2
2305;002342009;2
194;000142004;2
2302;002332011;2
62;000052004;2
2296;002322008;2
2291;002302009;2
2282;002272014;2
2281;002272013;2
2127;001992014;2
2139;002002015;2
2096;001942010;2
2095;001942009;2
2068;001892009;2
2069;001892010;2
2071;001892013;2
2072;001892015;2
2075;001902009;2
2076;001902010;2
237;000162016;2
2324;002392009;2
2081;001912009;2
2083;001922009;2
2332;002422007;2
2329;002412011;2
2088;001932009;2
2091;001932012;2
224;000162003;2
2092;001932013;2
2082;001912011;2
2344;002442011;2
2278;002272009;2
2144;002022014;2
2238;002192010;2
2237;002192009;2
2193;002112010;2
165;000122003;2
108;000082008;2
2232;002182010;2
2229;002172014;2
102;000072016;2
2225;002172010;2
147;000102016;2
2200;002122015;2
2204;002132012;2
2205;002132014;2
2214;002152010;2
2208;002142010;2
2014;001812005;2
2198;002122010;2
2141;002012013;2
2177;002082011;2
178;000132003;2
2148;002032010;2
2275;002262014;2
80;000062008;2
2159;002052014;2
88;000062016;2
2266;002242014;2
2261;002232015;2
2176;002082010;2
2163;002062012;2
2255;002222012;2
2165;002062014;2
2250;002212010;2
2169;002072011;2
2246;002202013;2
2175;002082009;2
2243;002202010;2
90;000072004;2
2345;002442014;2
2318;002372015;2
2058;001872013;2
2354;002472011;2
2023;001822006;2
283;0001A2010;2
2027;001822012;2
2028;001822013;2
282;0001A2008;2
2055;001872009;2
2034;001832011;2
2035;001832012;2
2054;001862015;2
2364;002492012;2
2036;001832014;2
2388;002552011;2
2052;001862011;2
2386;002542014;2
2368;002512004;2
2050;001862009;2
2048;001852011;2
2047;001852010;2
2037;001842005;2
2382;002532014;2
2348;002452014;2
2044;001852005;2
270;000192004;2
271;000192005;2
252;000182001;2
2351;002462011;2
2381;002532011;2
2022;001822005;2
2063;001882010;2
284;0001A2012;2
285;0001A2013;2
2349;002452015;2
239;000172003;2
2394;002572009;2
1;000000239;2
2066;001882015;2
4424;PP0062013;3
2485;002902012;3
4;000012004;3
1250;000902008;3
2387;002552009;3
712;000492008;3
836;000572002;3
3664;100302013;3
3671;100342014;3
1507;001132014;3
1573;001212009;3
721;0004A2009;3
2409;002612009;3
830;000562010;3
1503;001132010;3
2483;0028A2014;3
2219;002162009;3
824;000562002;3
2969;010072014;3
1476;001102012;3
1254;000902012;3
2207;002142009;3
3320;020172013;3
3614;100022012;3
3620;100032014;3
4354;CC0912013;3
2213;002152009;3
861;000592002;3
885;000602007;3
89;000072003;3
1488;001112014;3
865;000592007;3
2975;010082014;3
3067;010402014;3
1490;00112011A;3
3284;01C262009;3
862;000592004;3
2215;002152011;3
2480;002882013;3
1493;001122009;3
2389;002552014;3
813;000552005;3
1239;000892009;3
4405;DL3022013;3
3300;01TP22010;3
1565;001202009;3
1540;001172010;3
3727;101242011;3
116;000082016;3
1247;000902005;3
774;000522006;3
2497;002962014;3
1548;001182011;3
134;000102003;3
3001;010162011;3
1560;001192015;3
1248;000902006;3
2224;002172009;3
2996;010142014;3
3765;103012015;3
2220;002162010;3
1558;001192013;3
3003;010162013;3
2490;002922013;3
1536;001162015;3
3721;100902008;3
3307;020042014;3
810;000552002;3
2241;002202005;3
730;0004D2013;3
1523;001152012;3
1569;001202013;3
154;000112008;3
1525;001152014;3
4522;TP3312013;3
3722;101012015;3
1528;001162006;3
3031;010272012;3
1473;001102009;3
1265;000912012;3
3708;100622014;3
3027;010262011;3
3026;010252015;3
1264;000912011;3
1532;001162011;3
3718;100752011;3
3703;100582014;3
20;000022004;3
4510;TP0042013;3
2416;002622012;3
1084;000762005;3
2444;002722010;3
3182;011082014;3
1076;000752009;3
4503;TP0022013;3
2328;002402010;3
2449;002752013;3
4507;TP0032013;3
1371;001002012;3
2403;002592011;3
3173;011032011;3
1064;000742009;3
1062;000742006;3
1377;001012007;3
1378;001012008;3
3240;012SA2011;3
3168;011022011;3
3471;041452014;3
1051;000732008;3
1383;001012014;3
2327;002402009;3
1182;000842007;3
1190;000842015;3
1171;000832007;3
1388;001022005;3
3187;011162011;3
3189;011172011;3
3229;011752013;3
2340;002432014;3
3403;032012013;3
1123;000792009;3
1323;000972007;3
2338;002432009;3
2337;002432007;3
2335;002422011;3
1328;000972013;3
3381;028012014;3
1331;000982005;3
1110;000782007;3
1108;000782005;3
4495;T00022013;3
2442;002702014;3
1097;000772007;3
18;000022002;3
2443;002712010;3
3437;040922014;3
1096;000772006;3
3440;040992011;3
1094;000772002;3
1088;000762010;3
1085;000762006;3
1389;001022007;3
1192;000852006;3
1391;001022009;3
972;000672005;3
2367;002502014;3
3565;070142014;3
1441;001072007;3
1206;000862009;3
61;000052003;3
938;000642010;3
935;000642007;3
2370;002512010;3
3107;010572011;3
923;000632008;3
1452;001082008;3
1215;000872006;3
921;000632006;3
3098;010522015;3
919;000632004;3
4508;TP0032014;3
3602;0TP042010;3
1459;001092007;3
1460;001092008;3
908;000622006;3
3089;010502013;3
1466;001092015;3
973;000672006;3
2309;002352010;3
986;000682007;3
2312;002362009;3
1295;000942010;3
1036;000722005;3
1394;001022012;3
2321;002382013;3
1197;000852012;3
2361;002482014;3
2319;002382009;3
1400;001032007;3
2456;002782010;3
1024;000712005;3
3505;048SA2011;3
1222;000872013;3
2363;002492011;3
3804;110012015;3
1013;000702007;3
3521;053012015;3
1002;000692010;3
3138;010772012;3
997;000692005;3
3136;010752013;3
3133;010742012;3
1419;001052005;3
1421;001052007;3
3339;020692013;3
1014;000702008;3
1589;001232010;3
528;000362002;3
1591;001232012;3
440;0002C2013;3
4281;700012014;3
1798;001502005;3
1801;001502012;3
1805;001512006;3
1809;001512013;3
420;000292004;3
419;000292003;3
1811;001512015;3
1816;001522011;3
2780;005262013;3
410;000282008;3
1819;001522015;3
213;000152008;3
2776;005232011;3
2594;003612010;3
2086;001922014;3
1831;001542013;3
4108;214542014;3
2767;005102010;3
1837;001552013;3
1841;001562010;3
378;000262003;3
2759;004SA2011;3
367;000252006;3
364;000252002;3
1849;001572011;3
1850;001572012;3
1822;001532009;3
2079;001902014;3
1786;001482011;3
211;000152006;3
2844;006412014;3
4314;999842001;3
518;000352006;3
2841;006342014;3
2563;003352013;3
516;000352004;3
2137;002002013;3
504;000342006;3
2134;001SA2011;3
2830;006162013;3
2569;003392014;3
4019;207012015;3
208;000152003;3
4289;801012014;3
1757;001442011;3
2118;001982009;3
1764;001452011;3
2112;001972009;3
4033;208152014;3
1768;001452015;3
2814;0059A2012;3
2813;005992013;3
2107;001962009;3
475;000322002;3
2106;001952014;3
